Cidade;Data;Vendas;LojaID;Qtde
Salvador;02/01/2014;R$70.20 ;1035;3
Salvador;02/01/2014;R$36.89 ;1037;2
Salvador;02/01/2014;R$162.35 ;1037;3
Salvador;02/01/2014;R$14.79 ;1035;1
Salvador;02/01/2014;R$39.06 ;1034;3
Salvador;02/01/2014;R$21.36 ;1035;2
Salvador;02/01/2014;R$149.47 ;1036;3
Salvador;02/01/2014;R$8.39 ;1037;1
Salvador;02/01/2014;R$170.53 ;1035;2
Salvador;02/01/2014;R$155.52 ;1034;1
Salvador;02/01/2014;R$39.51 ;1035;3
Salvador;02/01/2014;R$218.76 ;1037;1
Salvador;02/01/2014;R$111.20 ;1036;3
Salvador;02/01/2014;R$19.02 ;1034;2
Salvador;02/01/2014;R$40.24 ;1036;2
Salvador;02/01/2014;R$17.36 ;1037;2
Salvador;02/01/2014;R$207.88 ;1035;1
Salvador;02/01/2014;R$63.66 ;1036;2
Salvador;02/01/2014;R$22.99 ;1036;1
Salvador;02/01/2014;R$16.88 ;1035;3
Salvador;02/01/2014;R$156.47 ;1037;3
Salvador;02/01/2014;R$135.19 ;1034;2
Salvador;02/01/2014;R$31.20 ;1036;1
Salvador;02/01/2014;R$17.46 ;1034;1
Salvador;02/01/2014;R$100.54 ;1036;2
Salvador;02/01/2014;R$17.74 ;1035;1
Salvador;02/01/2014;R$4.57 ;1035;1
Salvador;02/01/2014;R$15.58 ;1037;1
Salvador;02/01/2014;R$33.24 ;1037;1
Salvador;02/01/2014;R$5.13 ;1035;1
Salvador;02/01/2014;R$42.94 ;1034;3
Salvador;02/01/2014;R$39.91 ;1037;3
Salvador;02/01/2014;R$231.76 ;1036;3
Salvador;02/01/2014;R$40.38 ;1037;1
Salvador;02/01/2014;R$190.97 ;1036;2
Salvador;02/01/2014;R$32.28 ;1035;3
Salvador;02/01/2014;R$40.84 ;1034;3
Salvador;02/01/2014;R$191.60 ;1034;1
Salvador;02/01/2014;R$188.79 ;1036;3
Salvador;02/01/2014;R$32.83 ;1037;1
Salvador;02/01/2014;R$149.19 ;1035;2
Salvador;02/01/2014;R$14.70 ;1035;1
Salvador;02/01/2014;R$11.72 ;1037;1
Salvador;02/01/2014;R$124.37 ;1035;1
Salvador;02/01/2014;R$185.93 ;1036;3
Salvador;02/01/2014;R$147.35 ;1037;2
Salvador;02/01/2014;R$43.00 ;1036;3
Salvador;02/01/2014;R$18.90 ;1034;3
Salvador;02/01/2014;R$25.52 ;1034;1
Salvador;02/01/2014;R$202.33 ;1035;2
Salvador;02/01/2014;R$41.78 ;1034;3
Salvador;02/01/2014;R$39.41 ;1034;1
Salvador;02/01/2014;R$92.21 ;1035;2
Salvador;02/01/2014;R$136.37 ;1034;2
Salvador;02/01/2014;R$140.17 ;1036;2
Salvador;02/01/2014;R$100.70 ;1037;3
Salvador;02/01/2014;R$13.27 ;1037;1
Salvador;02/01/2014;R$127.45 ;1036;3
Salvador;02/01/2014;R$44.82 ;1034;3
Salvador;02/01/2014;R$25.00 ;1037;2
Salvador;02/01/2014;R$41.69 ;1036;2
Salvador;02/01/2014;R$240.61 ;1035;3
Salvador;02/01/2014;R$36.84 ;1034;1
Salvador;02/01/2014;R$125.66 ;1037;1
Salvador;02/01/2014;R$59.78 ;1036;1
Salvador;02/01/2014;R$63.48 ;1037;3
Salvador;02/01/2014;R$19.61 ;1036;2
Salvador;02/01/2014;R$153.71 ;1035;1
Salvador;02/01/2014;R$125.90 ;1036;1
Salvador;02/01/2014;R$9.95 ;1037;3
Salvador;02/01/2014;R$13.81 ;1036;1
Salvador;02/01/2014;R$51.66 ;1036;3
Salvador;02/01/2014;R$212.03 ;1037;3
Salvador;02/01/2014;R$169.01 ;1036;1
Salvador;02/01/2014;R$20.79 ;1036;2
Salvador;02/01/2014;R$9.08 ;1036;1
Salvador;02/01/2014;R$7.12 ;1034;1
Salvador;02/01/2014;R$41.18 ;1037;2
Salvador;02/01/2014;R$23.38 ;1034;1
Salvador;02/01/2014;R$84.62 ;1034;2
Salvador;02/01/2014;R$149.88 ;1037;1
Salvador;02/01/2014;R$34.50 ;1035;1
Salvador;02/01/2014;R$40.59 ;1037;3
Salvador;02/01/2014;R$22.38 ;1034;3
Salvador;02/01/2014;R$11.13 ;1035;2
Salvador;02/01/2014;R$14.63 ;1035;1
Salvador;02/01/2014;R$20.07 ;1035;1
Salvador;02/01/2014;R$17.41 ;1035;2
Salvador;02/01/2014;R$9.58 ;1037;1
Salvador;02/01/2014;R$237.81 ;1036;3
Salvador;02/01/2014;R$36.14 ;1037;3
Salvador;02/01/2014;R$150.17 ;1036;2
Salvador;02/01/2014;R$183.64 ;1037;3
Salvador;02/01/2014;R$172.52 ;1035;1
Salvador;02/01/2014;R$11.76 ;1034;1
Salvador;02/01/2014;R$5.80 ;1036;1
Salvador;02/01/2014;R$23.08 ;1036;2
Salvador;02/01/2014;R$17.66 ;1036;3
Salvador;02/01/2014;R$6.59 ;1035;1
Salvador;02/01/2014;R$11.54 ;1037;1
Salvador;02/01/2014;R$111.72 ;1035;3
Salvador;02/01/2014;R$36.42 ;1037;1
Salvador;02/01/2014;R$20.22 ;1036;1
Salvador;02/01/2014;R$166.73 ;1037;2
Salvador;02/01/2014;R$9.26 ;1035;3
Salvador;02/01/2014;R$136.45 ;1035;3
Salvador;02/01/2014;R$6.70 ;1035;1
Salvador;02/01/2014;R$31.77 ;1034;2
Salvador;02/01/2014;R$35.30 ;1037;1
Salvador;02/01/2014;R$16.53 ;1036;2
Salvador;02/01/2014;R$19.42 ;1035;3
Salvador;02/01/2014;R$41.19 ;1037;2
Salvador;02/01/2014;R$39.28 ;1037;3
Salvador;02/01/2014;R$64.95 ;1036;1
Salvador;02/01/2014;R$116.63 ;1035;2
Salvador;02/01/2014;R$244.83 ;1037;2
Salvador;02/01/2014;R$6.60 ;1037;2
Salvador;02/01/2014;R$120.23 ;1037;2
Salvador;02/01/2014;R$167.16 ;1037;1
Salvador;02/01/2014;R$6.67 ;1036;1
Salvador;02/01/2014;R$169.09 ;1036;2
Salvador;02/01/2014;R$3.85 ;1035;3
Salvador;02/01/2014;R$178.11 ;1035;3
Salvador;02/01/2014;R$139.73 ;1037;2
Salvador;02/01/2014;R$78.78 ;1035;3
Salvador;02/01/2014;R$173.59 ;1034;2
Salvador;02/01/2014;R$166.51 ;1036;1
Salvador;02/01/2014;R$3.97 ;1036;2
Salvador;02/01/2014;R$156.47 ;1035;1
Salvador;02/01/2014;R$44.89 ;1036;3
Salvador;02/01/2014;R$145.09 ;1036;2
Salvador;02/01/2014;R$10.45 ;1036;2
Salvador;02/01/2014;R$13.65 ;1037;3
Salvador;02/01/2014;R$153.87 ;1036;3
Salvador;02/01/2014;R$41.06 ;1035;1
Salvador;02/01/2014;R$86.61 ;1036;1
Salvador;02/01/2014;R$22.45 ;1036;1
Salvador;02/01/2014;R$37.75 ;1035;2
Salvador;02/01/2014;R$151.41 ;1037;2
Salvador;02/01/2014;R$196.09 ;1037;1
Salvador;02/01/2014;R$151.45 ;1036;2
Salvador;02/01/2014;R$46.70 ;1036;2
Salvador;02/01/2014;R$39.40 ;1036;3
Salvador;02/01/2014;R$69.98 ;1034;2
Salvador;02/01/2014;R$197.64 ;1035;1
Salvador;02/01/2014;R$141.05 ;1035;3
Salvador;02/01/2014;R$50.73 ;1037;3
Salvador;02/01/2014;R$42.12 ;1035;1
Salvador;02/01/2014;R$54.94 ;1036;2
Salvador;02/01/2014;R$203.84 ;1036;1
Salvador;02/01/2014;R$5.82 ;1035;1
Salvador;02/01/2014;R$37.65 ;1036;2
Salvador;02/01/2014;R$189.12 ;1036;3
Salvador;02/01/2014;R$19.67 ;1037;2
Salvador;02/01/2014;R$42.71 ;1035;1
Salvador;02/01/2014;R$142.23 ;1035;2
Salvador;02/01/2014;R$43.96 ;1037;1
Salvador;02/01/2014;R$40.51 ;1037;2
Salvador;02/01/2014;R$178.30 ;1035;3
Salvador;02/01/2014;R$36.23 ;1035;1
Salvador;02/01/2014;R$38.32 ;1035;2
Salvador;02/01/2014;R$14.70 ;1035;1
Salvador;02/01/2014;R$6.87 ;1037;3
Salvador;02/01/2014;R$43.08 ;1036;2
Salvador;03/01/2014;R$184.69 ;1036;1
Salvador;03/01/2014;R$89.85 ;1034;2
Salvador;03/01/2014;R$167.76 ;1034;3
Salvador;03/01/2014;R$172.40 ;1036;2
Salvador;03/01/2014;R$48.39 ;1035;2
Salvador;03/01/2014;R$41.84 ;1034;1
Salvador;03/01/2014;R$126.29 ;1035;3
Salvador;03/01/2014;R$38.06 ;1036;3
Salvador;03/01/2014;R$139.64 ;1035;1
Salvador;03/01/2014;R$161.41 ;1037;3
Salvador;01/01/2014;R$142.00 ;1520;1
Salvador;01/01/2014;R$14.21 ;1522;6
Salvador;01/01/2014;R$71.55 ;1520;1
Salvador;01/01/2014;R$3.01 ;1521;7
Salvador;01/01/2014;R$24.51 ;1522;8
Salvador;01/01/2014;R$156.20 ;1522;1
Salvador;01/01/2014;R$35.50 ;1522;2
Salvador;01/01/2014;R$172.22 ;1522;6
Salvador;01/01/2014;R$12.16 ;1523;1
Salvador;01/01/2014;R$149.36 ;1523;3
Salvador;01/01/2014;R$42.34 ;1522;6
Salvador;01/01/2014;R$161.53 ;1520;4
Salvador;01/01/2014;R$9.78 ;1520;8
Salvador;01/01/2014;R$43.45 ;1522;10
Salvador;01/01/2014;R$148.21 ;1521;3
Salvador;01/01/2014;R$153.28 ;1523;6
Salvador;01/01/2014;R$37.68 ;1522;10
Salvador;01/01/2014;R$162.19 ;1522;9
Salvador;01/01/2014;R$32.14 ;1522;6
Salvador;01/01/2014;R$43.96 ;1520;9
Salvador;01/01/2014;R$39.86 ;1522;9
Salvador;01/01/2014;R$37.36 ;1520;2
Salvador;01/01/2014;R$150.94 ;1522;1
Salvador;01/01/2014;R$237.50 ;1523;7
Salvador;01/01/2014;R$151.04 ;1522;6
Salvador;01/01/2014;R$34.66 ;1521;8
Salvador;01/01/2014;R$6.98 ;1521;10
Salvador;01/01/2014;R$3.39 ;1523;4
Salvador;01/01/2014;R$114.93 ;1520;5
Salvador;01/01/2014;R$44.04 ;1520;6
Salvador;01/01/2014;R$119.21 ;1520;8
Salvador;01/01/2014;R$171.16 ;1520;9
Salvador;01/01/2014;R$42.97 ;1522;6
Salvador;01/01/2014;R$35.09 ;1523;4
Salvador;01/01/2014;R$38.25 ;1521;6
Salvador;01/01/2014;R$40.60 ;1520;3
Salvador;01/01/2014;R$37.99 ;1523;8
Salvador;01/01/2014;R$152.74 ;1522;9
Salvador;01/01/2014;R$142.46 ;1520;1
Salvador;01/01/2014;R$11.11 ;1522;8
Salvador;01/01/2014;R$6.99 ;1522;7
Salvador;01/01/2014;R$229.64 ;1520;8
Salvador;01/01/2014;R$40.00 ;1520;8
Salvador;01/01/2014;R$19.63 ;1523;9
Salvador;01/01/2014;R$11.42 ;1520;5
Salvador;01/01/2014;R$131.12 ;1523;5
Salvador;01/01/2014;R$41.42 ;1522;2
Salvador;01/01/2014;R$80.46 ;1520;2
Salvador;01/01/2014;R$35.90 ;1521;8
Salvador;01/01/2014;R$53.74 ;1522;3
Salvador;01/01/2014;R$7.52 ;1522;5
Salvador;01/01/2014;R$40.58 ;1522;6
Salvador;01/01/2014;R$14.76 ;1520;3
Salvador;01/01/2014;R$8.64 ;1522;2
Salvador;01/01/2014;R$20.85 ;1523;1
Salvador;01/01/2014;R$67.23 ;1520;8
Salvador;01/01/2014;R$41.90 ;1523;6
Salvador;01/01/2014;R$23.49 ;1520;7
Salvador;01/01/2014;R$37.14 ;1520;7
Salvador;01/01/2014;R$15.07 ;1523;7
Salvador;01/01/2014;R$215.88 ;1521;3
Salvador;01/01/2014;R$39.80 ;1520;6
Salvador;01/01/2014;R$28.66 ;1520;3
Salvador;01/01/2014;R$39.87 ;1522;5
Salvador;01/01/2014;R$21.00 ;1523;5
Salvador;01/01/2014;R$145.54 ;1522;3
Salvador;01/01/2014;R$76.59 ;1523;4
Salvador;01/01/2014;R$78.13 ;1521;4
Salvador;01/01/2014;R$179.74 ;1520;2
Salvador;01/01/2014;R$15.81 ;1523;1
Salvador;01/01/2014;R$8.44 ;1523;9
Salvador;01/01/2014;R$228.27 ;1523;6
Salvador;01/01/2014;R$168.95 ;1523;7
Salvador;01/01/2014;R$159.78 ;1521;3
Salvador;01/01/2014;R$7.86 ;1520;2
Salvador;01/01/2014;R$160.64 ;1523;9
Salvador;01/01/2014;R$33.51 ;1523;4
Salvador;01/01/2014;R$24.10 ;1522;1
Salvador;01/01/2014;R$154.85 ;1522;9
Salvador;01/01/2014;R$5.59 ;1521;4
Salvador;01/01/2014;R$121.77 ;1523;3
Salvador;01/01/2014;R$53.41 ;1520;2
Salvador;01/01/2014;R$150.48 ;1522;4
Salvador;01/01/2014;R$14.44 ;1520;5
Salvador;01/01/2014;R$40.98 ;1520;5
Salvador;01/01/2014;R$15.17 ;1521;1
Salvador;01/01/2014;R$154.92 ;1521;5
Salvador;01/01/2014;R$116.71 ;1520;4
Salvador;01/01/2014;R$190.67 ;1521;5
Salvador;01/01/2014;R$10.15 ;1523;7
Salvador;01/01/2014;R$16.27 ;1522;1
Salvador;01/01/2014;R$200.85 ;1522;6
Salvador;01/01/2014;R$37.46 ;1520;7
Salvador;01/01/2014;R$188.70 ;1523;1
Salvador;01/01/2014;R$198.24 ;1521;9
Salvador;01/01/2014;R$127.43 ;1522;9
Salvador;01/01/2014;R$85.92 ;1521;2
Salvador;01/01/2014;R$32.69 ;1521;5
Salvador;01/01/2014;R$138.33 ;1521;10
Salvador;01/01/2014;R$139.32 ;1521;3
Salvador;01/01/2014;R$180.57 ;1520;6
Salvador;01/01/2014;R$16.62 ;1520;9
Salvador;01/01/2014;R$7.29 ;1523;1
Salvador;01/01/2014;R$12.62 ;1522;3
Salvador;01/01/2014;R$46.96 ;1522;1
Salvador;01/01/2014;R$24.81 ;1520;5
Salvador;01/01/2014;R$16.32 ;1520;7
Salvador;01/01/2014;R$142.57 ;1523;3
Salvador;01/01/2014;R$31.94 ;1520;8
Salvador;01/01/2014;R$51.64 ;1523;5
Salvador;01/01/2014;R$38.15 ;1520;4
Salvador;01/01/2014;R$24.25 ;1523;1
Salvador;01/01/2014;R$4.52 ;1522;8
Salvador;01/01/2014;R$23.05 ;1521;9
Salvador;01/01/2014;R$10.17 ;1520;5
Salvador;01/01/2014;R$50.99 ;1522;10
Salvador;01/01/2014;R$48.44 ;1522;4
Salvador;01/01/2014;R$170.97 ;1521;4
Salvador;01/01/2014;R$3.34 ;1522;1
Salvador;01/01/2014;R$9.32 ;1523;6
Salvador;01/01/2014;R$7.73 ;1520;10
Salvador;01/01/2014;R$162.07 ;1520;3
Salvador;01/01/2014;R$38.49 ;1522;4
Salvador;01/01/2014;R$115.19 ;1523;6
Salvador;01/01/2014;R$139.64 ;1522;5
Salvador;01/01/2014;R$15.62 ;1522;2
Salvador;01/01/2014;R$13.41 ;1520;7
Salvador;01/01/2014;R$33.12 ;1522;9
Salvador;01/01/2014;R$37.49 ;1521;2
Salvador;01/01/2014;R$13.70 ;1522;6
